id,category_name,last_topic,last_fetched_time
1,"Get  Started 🌱","How to Stay up to Date","2024-10-24 01:02:23"
2,"Mission  Grants  🏹","How to Get a Grant","2024-10-24 01:02:26"
3,"Delegates  🏛","About the Delegates  🏛 category","2024-10-24 01:02:29"
4,"Retro  Funding 🔴","About the Retro  Funding 🔴 category","2024-10-24 01:02:32"
5,"Citizens  👥","About the Citizens  👥 category","2024-10-24 01:02:35"
6,"Elected  Representatives 💼","About the Elected  Representatives 💼 category","2024-10-24 01:02:37"
7,"Technical  Proposals 📃","Standard Proposal Template – Optimism Token House","2024-10-24 01:02:40"
8,"Policies  and Templates 📌","Inflation Adjustment Proposal Template","2024-10-24 01:02:42"
9,"Collective  Strategy 🧭","About the Collective  Strategy 🧭 category","2024-10-24 01:02:45"
10,"Updates  and Announcements 📢","About the Updates  and Announcements 📢 category","2024-10-24 01:02:48"
11,"Governance  Design 📐","About the Governance  Design 📐 category","2024-10-24 01:00:00"
12,"Feedback  💬","About the Feedback  💬 category","2024-10-24 01:00:02"
13,"Accountability  🗂️","Grant Misuse Reporting Process","2024-10-24 01:00:05"
14,"✨ General","🚀 New Podcast Episode Alert - Exploring How Zora is Transforming NFTs: The Key to the Superchain & Digital Culture","2024-10-24 01:00:08"
15,"ARCHIVED  & OLD Missions","About Missions Proposals","2024-10-24 01:00:10"
